,review,prediction
83,"['great', 'product', 'really', 'comfortable', 'headphone', 'broke', 'month', 'emailed', 'company', 'responded', 'quickly', 'tried', 'trouble', 'shoot', 'not', 'fix', 'promised', 'send', 'replacement', 'occurred', 'week', 'ago', 'update', 'receive', 'replacement']",2
94,"['listened', 'review', 'connect', 'two', 'week', 'work', 'time', 'time', 'line', 'even', 'though', 'foot', 'router', 'hoped', 'august', 'would', 'read', 'review', 'something', 'fix', 'not', 'downloaded', 'latest', 'firmware', 'nothing', 'btw', 'no', 'phone', 'number', 'call', 'august', 'deal', 'via', 'email', 'cannot', 'connect', 'trouble', 'ticket', 'august', 'not', 'optimistic', 'likely', 'returning', 'product', 'company', 'ship', 'product', 'lot', 'money', 'something', 'clearly', 'not', 'even', 'beta', 'release']",2
196,"['wow', 'beginning', 'scared', 'code', 'work', 'work', 'super', 'happy', 'purchase', 'thank', 'amazon', 'saved', 'may', 'little', 'money', 'people', 'still', 'saved', 'money', 'always', 'amazon', 'continue', 'purchase', 'amazon', 'would', 'recommend', 'anyone', 'buy']",2
261,"['love', 'ring', 'light']",2
314,"['sound', 'quality', 'good', 'no', 'complaint', 'like', 'sleep', 'automatically', 'minute', 'playing', 'music', 'room', 'used', 'application', 'phone', 'minute', 'go', 'back', 'press', 'button', 'super', 'annoying', 'didnot', 'expect', 'bluetooth', 'speaker', 'also', 'phone', 'connect', 'right', 'away', 'go', 'back', 'setting', 'bluetooth', 'press', 'speaker', 'connect', 'bluetooth', 'speaker', 'market', 'phone', 'pick', 'signal', 'right', 'away', 'bluetooth', 'speaker', 'wake', 'automatically', 'including', 'logitech', 'speaker', 'best', 'buy', 'bought', 'year', 'ago', 'infact', 'using', 'laptop', 'use', 'old', 'speaker', 'bluetooth', 'streaming', 'since', 'one', 'impossible', 'keep', 'connection', 'time']",2
348,"['tried', 'several', 'brand', 'hurt', 'no', 'matter', 'much', 'try', 'get', 'used', 'others', 'people', 'suggested', 'great', 'no', 'pain', 'even', 'prolonged', 'wear', 'come', 'different', 'ear', 'tip', 'one', 'work', 'likely', 'secure', 'ear', 'tip', 'worst', 'case', 'scenario', 'ear', 'tip', 'hurt', 'remove', 'secure', 'running', 'activity', 'without', 'tip', 'thing', 'fine', 'without', 'good', 'suction', 'ear', 'canal', 'sound', 'great', 'call', 'music', 'app', 'ok', 'equalizer', 'would', 'prefer', 'something', 'customization', 'instead', 'presets', 'presets', 'bad']",2
360,"['po', 'no', 'not', 'point', 'sale', 'drove', 'mile', 'bc', 'thing', 'would', 'not', 'close', 'door', 'apparently', 'many', 'failed', 'attempt', 'never', 'issue', 'nexxgarage', 'good', 'thing', 'camera', 'check', 'house', 'good', 'neighbor', 'anyway', 'got', 'home', 'ripped', 'thing', 'plugged', 'nexxgarage', 'back', 'going', 'back']",2
379,"['using', 'playstation', 'hooked', 'tv', 'work', 'expected', 'good', 'price']",2
386,"['probably', 'ok', 'not', 'use']",2
528,"['got', 'rick', 'stick', 'battery', 'cam', 'install', 'outside', 'package', 'come', 'screw', 'wall', 'anchor', 'not', 'come', 'screw', 'driver', 'drill', 'bit', 'no', 'included', 'instruction', 'reference', 'size', 'kind', 'drill', 'bit', 'needed', 'install', 'wall', 'anchor', 'called', 'ring', 'support', 'tell', 'either', 'go', 'hardware', 'store', 'get', 'masonry', 'bit', 'work', 'update', 'ring', 'support', 'reached', 'directly', 'appreciate', 'given', 'given', 'suggestion', 'first', 'include', 'masonry', 'bit', 'least', 'state', 'instruction', 'need', 'bit', 'secondly', 'stick', 'cam', 'motion', 'zone', 'three', 'section', 'area', 'set', 'either', 'indoor', 'cam', 'model', 'allows', 'drag', 'dot', 'box', 'fully', 'customize', 'motion', 'zone', 'would', 'nice', 'improvement', 'stick', 'cam', 'allowed']",2
600,"['two', 'way', 'audio', 'not', 'great', 'night', 'irs', 'last', 'long', 'see', 'anything', 'dark']",2
