,review,prediction
13,"['camera', 'turn', 'record', 'turned', 'day', 'later', 'start', 'get', 'motion', 'alert', 'see', 'turned', 'recording', 'also', 'sometimes', 'turned', 'reset', 'power', 'outage', 'know', 'supposed', 'setting', 'recording', 'not', 'seems', 'always', 'recording']",4
21,"['time', 'went', 'use', 'car', 'get', 'lost', 'connection', 'network', 'similar', 'error', 'unplug', 'restart', 'try', 'associate', 'app', 'device', 'etc', 'finally', 'would', 'work', 'high', 'hope', 'hardly', 'worth', 'hassle', 'however', 'reason', 'finally', 'unplugged', 'amount', 'data', 'used', 'went', 'gb', 'data', 'plan', 'using', 'week', 'never', 'problem', 'since']",4
24,"['ok', 'not', 'thing', 'pretty', 'loud', 'crazy', 'small', 'size', 'battery', 'life', 'impressive', 'almost', 'make', 'mad', 'took', 'wood', 'somehow', 'little', 'speaker', 'went', 'almost', 'day', 'think', 'little', 'year', 'continues', 'impress', 'absolute', 'best', 'value', 'ever', 'mention', 'fun', 'say', 'go', 'ahead', 'use', 'best', 'german', 'accent', 'say', 'couple', 'time', 'put', 'smile', 'face', 'must', 'suck', 'party', 'little', 'guy', 'best', 'speaker', 'ever', 'ordered']",4
46,"['past', 'year', 'two', 'slowly', 'converting', 'dumb', 'home', 'smart', 'one', 'switch', 'one', 'change', 'adding', 'specifically', 'using', 'one', 'hallway', 'one', 'guest', 'bedroom', 'one', 'guest', 'bathroom', 'way', 'version', 'kitchen', 'way', 'version', 'entryway', 'first', 'set', 'running', 'work', 'work', 'well', 'one', 'guest', 'bedroom', 'hallway', 'kitchen', 'installed', 'six', 'month', 'work', 'perfectly', 'speak', 'longevity', 'one', 'guest', 'bathroom', 'entryway', 'yet', 'installed', 'past', 'weekend']",4
61,"['earbuds', 'much', 'better', 'sounding', 'previous', 'pair', 'music', 'sound', 'great', 'glad', 'bought', 'saved', 'money', 'also', 'really', 'like', 'case', 'small', 'compact', 'slide', 'right', 'pocket', 'barely', 'notice', 'indicator', 'light', 'case', 'showing', 'remaining', 'battery', 'also', 'useful']",4
66,"['original', 'much', 'better', 'sound', 'quality', 'spot', 'feature', 'almost', 'wish', 'could', 'connect', 'two', 'phone', 'time', 'pain', 'butt', 'switch', 'work', 'phone', 'personal', 'phone', 'however', 'complaint', 'happy', 'bud']",4
89,"['look', 'good', 'installed', 'easy', 'sometimes', 'not', 'reactive', 'touch']",4
98,"['shut', 'mid', 'use', 'checked', 'bose', 'online', 'see', 'fix', 'power', 'cord', 'seems', 'fine', 'possibly', 'fuse', 'internal', 'component', 'fix', 'bose', 'disappointing', 'one', 'year', 'warranty', 'expired', 'last', 'week', 'otherwise', 'loved']",4
106,"['many', 'different', 'budget', 'tv', 'soundbars', 'available', 'choose', 'went', 'brand', 'trusted', 'year', 'pleasant', 'experience', 'st', 'generation', 'bose', 'solo', 'happy', 'upgrade', 'bose', 'solo', 'sound', 'look', 'great']",4
157,"['say', 'got', 'almost', 'instantly', 'used', 'code', 'renew', 'subscription']",4
